# Rime user dictionary
#@/db_name	bopomo_onion.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	231
#@/user_id	cceb415b-5f81-4c04-ac57-7d03c69a9c63
a1 	阿	c=0 d=0.26358 t=231
wen4 ti2 	問題	c=0 d=0.145041 t=231
wo3 	我	c=1 d=1.01481 t=231
wo3 deng3 deng3 kan4 ta1 you3 mei2 you3 kai1 	我等等看他有沒有開	c=1 d=0.895834 t=231
wo3 gang1 gang1 zai4 yan2 jiu4 shu3 xu1 guan3 	我剛剛在研究鼠鬚管	c=1 d=0.442639 t=231
wo3 gang1 gang1 zuo4 de5 yang4 shi4 	我剛剛做的樣式	c=1 d=0.621885 t=231
wo3 hen3 jiu3 mei2 chi1 le5 	我很久沒吃了	c=1 d=0.822835 t=231
wo3 jiu4 	我就	c=0 d=0.0524663 t=231
wo3 jiu4 yao4 zhao3 ta1 dui4 ying4 de5 yan2 se4 	我就要找他對應的顏色	c=1 d=0.527292 t=231
wo3 kan4 	我看	c=0 d=0.1 t=214
wo3 kan4 qi2 ta1 ren2 zuo4 de5 ye3 mei2 bian1 kuang1 	我看其他人做的也沒邊框	c=1 d=1 t=215
wo3 mei2 	我沒	c=0 d=0.0847894 t=231
wo3 mei2 chi1 guo4 	我沒吃過	c=1 d=0.852144 t=231
wo3 men5 	我們	c=0 d=0.0491644 t=231
wo3 peng2 peng2 la5 	我朋朋啦	c=1 d=0.594521 t=231
wo3 she4 	我射	c=0 d=0.0600496 t=231
wo3 she4 ji4 de5 	我射記得	c=1 d=0.603506 t=231
wo3 shen1 ti3 xu1 	我身體需	c=1 d=1 t=225
wo3 xian4 zai4 	我現在	c=0 d=0.0501576 t=231
wo3 xian4 zai4 xu1 yao4 de5 shi4 ba1 ma3 de5 	我現在需要的是八碼的	c=1 d=0.50409 t=231
wo3 you3 	我有	c=0 d=0.1 t=227
wo3 you3 dian3 xiang3 bu2 dao4 yao4 chi1 sha2 	我有點想不到要吃啥	c=1 d=0.814647 t=231
wo3 you3 dian3 xiang3 chi1 	我有點想吃	c=1 d=0.818731 t=231
wo3 you3 ding4 wei4 le5 	我有定爲了	c=1 d=1 t=228
wo3 zai4 	我在	c=0 d=0.0516851 t=231
wo3 zhe4 ge5 ke3 ai4 ba5 	我這個可愛吧	c=1 d=1 t=222
wo3 zhe4 ge5 yang4 shi4 you4 mei2 kai1 yuan2 	我這個樣式又沒開源	c=1 d=1 t=221
wo3 zi4 ji3 	我自己	c=0 d=0.1 t=218
wo3 zuo4 de5 	我做的	c=1 d=0.748264 t=231
wu2 fa3 	無法	c=0 d=0.067368 t=231
wu2 guan1 	無關	c=0 d=0.0644036 t=231
wu3 dian3 ban4 	五點半	c=1 d=0.900325 t=231
wu4 li3 	物理	c=0 d=0.110016 t=231
xia1 pi2 	蝦皮	c=2 d=1.14458 t=231
xia4 	下	c=0 d=0.0722527 t=231
xia4 mian4 	下面	c=0 d=0.0722527 t=231
xia4 wu3 	下午	c=0 d=0.189413 t=231
xia4 zai3 	下載	c=1 d=0.887306 t=231
xian3 shi4 	顯示	c=0 d=0.0737123 t=231
xian3 shi4 yang4 shi4 shi4 	顯示樣式是	c=1 d=0.740818 t=231
xiang3 	想	c=0 d=0.0694197 t=231
xiang3 bu2 dao4 	想不到	c=0 d=0.0810584 t=231
xiang3 chi1 	想吃	c=0 d=0.162119 t=231
xiang3 de5 	想得	c=0 d=0.0427415 t=231
xiang4 	向	c=0 d=0.0489192 t=231
xiang4 shi4 	像是	c=0 d=0.0609571 t=231
xiang4 zhe4 yang4 	像這樣	c=1 d=0.522046 t=231
xie3 	寫	c=0 d=0.0937067 t=231
xie3 cheng2 shi4 	寫程式	c=0 d=0.1 t=191
xie3 yi1 xie3 diu1 yun2 duan1 bu2 jiu4 hao3 le5 	寫一寫丟雲端不就好了	c=1 d=0.941765 t=231
xing2 cheng2 	形成	c=1 d=1 t=204
xing2 cheng2 	行程	c=0 d=0.045612 t=231
xing2 jin4 	形近	c=1 d=1 t=202
xing4 	性	c=0 d=0.1 t=204
xing4 ping2 liang2 	性評量	c=1 d=1 t=205
xiu1 gai3 	修改	c=0 d=0.0759572 t=231
xiu1 gai3 wan2 zhi1 hou4 ji4 de2 yao4 	修改玩之後記得要	c=1 d=0.763379 t=231
xu1 	虛	c=1 d=1 t=226
xu1 	需	c=0 d=0.1 t=224
xu1 yao4 de5 	需要的	c=0 d=0.0501576 t=231
xuan2 zhuan3 	旋轉	c=0 d=0.0609571 t=231
xuan3 dan1 	選單	c=0 d=0.1 t=198
yan2 jiu4 	研究	c=0 d=0.0440432 t=231
yan2 se4 	顏色	c=1 d=0.576006 t=231
yang2 cong1 	洋蔥	c=1 d=0.969 t=231
yang2 cong1 ban3 	洋蔥版	c=2 d=1.19878 t=231
yang4 shi4 	樣式	c=1 d=0.946997 t=231
yao4 	要	c=0 d=0.254859 t=231
yao4 bei4 	要被	c=0 d=0.040657 t=231
yao4 bu4 de2 	要不得	c=0 d=0.0429557 t=231
yao4 chi1 	要吃	c=0 d=0.0810584 t=231
yao4 cong2 	要從	c=1 d=1 t=188
yao4 diao3 da3 shen2 me5 	要屌打什麼	c=1 d=1 t=220
yao4 gai3 de5 hua4 	要改的話	c=1 d=0.752014 t=231
yao4 xian1 	要先	c=0 d=0.0923116 t=231
yao4 xian1 ding4 wei4 ma5 	要先定位嗎	c=1 d=0.927743 t=231
ye3 hao3 	也好	c=0 d=0.1 t=194
ye3 jiu4 shi4 	也就是	c=0 d=0.0404542 t=231
ye3 jiu4 shi4 ke3 yi3 tiao2 zheng3 zai4 chu4 fa1 shi2 	也就是可以調整在觸發時	c=1 d=0.40657 t=231
ye3 ke3 yi3 	也可以	c=0 d=0.045612 t=231
ye3 mei2 	也沒	c=0 d=0.1 t=214
yi1 	一	c=0 d=0.162706 t=231
yi1 ban1 	一般	c=0 d=0.0491644 t=231
yi1 ban1 wo3 men5 yong4 de5 dou1 shi4 liu4 	一般我們用的都是六	c=1 d=0.494109 t=231
yi1 ge5 	一個	c=0 d=0.0425283 t=231
yi1 lai4 	依賴	c=0 d=0.0640824 t=231
yi1 xie3 	一寫	c=0 d=0.0937067 t=231
yi1 yang4 	一樣	c=0 d=0.126991 t=231
yi1 yang4 shi4 you2 	一樣是由	c=1 d=0.66365 t=231
yi1 zhao4 	依照	c=1 d=1 t=209
yi4 si1 	意思	c=0 d=0.0416862 t=231
yi4 you3 suo3 zhi3 	意有所指	c=0 d=0.0860708 t=231
yin1 wei4 	因爲	c=0 d=0.067032 t=231
ying1 gai1 shi4 	應該是	c=0 d=0.0878095 t=231
ying1 gai1 shi4 bu2 yong4 ba5 	應該是不用吧	c=1 d=0.882497 t=231
yong4 de5 	用的	c=0 d=0.0491644 t=231
you3 	有	c=0 d=0.128371 t=231
you3 a1 	有阿	c=2 d=1.24316 t=231
you3 dian3 	有點	c=0 d=0.215517 t=231
you3 mei2 you3 	有沒有	c=0 d=0.0891366 t=231
you4 mei2 	又沒	c=0 d=0.1 t=220
yu4 she4 de5 	預設的	c=1 d=0.737123 t=231
yuan2 sheng1 	原聲	c=1 d=0.444858 t=231
yuan2 ze2 	原則	c=0 d=0.0499074 t=231
yun2 duan1 	雲端	c=0 d=0.0937067 t=231
zai4 	在	c=0 d=0.216179 t=231
zai4 na4 bian1 she4 ji4 shu1 ru4 jie4 mian4 gao3 ban4 tian1 	在那邊設計輸入界面搞半天	c=1 d=0.995012 t=231
